,Importance
skidding_and_overturning_Skidded and overturned,0.0014612932988505125
first_road_number_6.0,0.001399548599346888
hit_object_in_carriageway_Kerb,0.0013821079315843824
weather_conditions_Other,0.0013518001397492692
hit_object_off_carriageway_Tree,0.0013227357879104678
vehicle_location_restricted_lane_On main c'way - not in restricted lane,0.0012865842343023654
vehicle_type_Taxi/Private hire car,0.0012472450894927352
road_type_Slip road,0.0012008150374855351
pedestrian_crossing_human_control_None within 50 metres ,0.0011181160368758248
vehicle_leaving_carriageway_Straight ahead at junction,0.001103036634297757
carriageway_hazards_None,0.0010994478176893454
hit_object_off_carriageway_Other permanent object,0.001097084419672625
weather_conditions_Fine + high winds,0.0010967435448765495
first_road_number_38.0,0.00105177782263505
road_type_One way street,0.0010512264636435452
hit_object_off_carriageway_Road sign or traffic signal,0.0010459103341675091
first_road_class_Motorway,0.0010437919399967294
first_road_number_52.0,0.0010118513153215018
special_conditions_at_site_Roadworks,0.0010080300091189593
first_road_number_41.0,0.0010006590915295494
first_road_number_57.0,0.0009564760193315383
weather_conditions_Raining + high winds,0.0009436276944331073
light_conditions_Darkness - lights unlit,0.0009360836123557933
first_road_number_5.0,0.0009221274436756276
junction_detail_Mini-roundabout,0.000887894320035831
pedestrian_crossing_human_control_Control by other authorised person,0.0008804779884573735
first_road_number_1.0,0.0008758620718255624
hit_object_off_carriageway_Wall or fence,0.0008609205627077177
vehicle_manoeuvre_Overtaking static vehicle - offside,0.0008524476867563648
junction_control_Stop sign,0.0008262098205406423
first_road_number_61.0,0.0008182492650396095
first_road_number_4.0,0.0008110514822473338
weather_conditions_Fog or mist,0.0007624501505066637
first_road_number_46.0,0.0007606745131420044
first_road_number_10.0,0.0007591707113730844
first_road_number_259.0,0.0007544622503761897
first_road_number_650.0,0.0007539759422106812
hit_object_off_carriageway_Lamp post,0.0007470783260787428
first_road_number_23.0,0.000709060464870855
vehicle_direction_from_Parked,0.0007041413989752358
vehicle_manoeuvre_Parked,0.0006923579652568869
hit_object_in_carriageway_Parked vehicle,0.0006900243032268497
vehicle_manoeuvre_U-turn,0.0006817101152956148
vehicle_direction_to_Parked,0.0006798884710452226
first_road_number_24.0,0.0006714600312011335
road_surface_conditions_Frost or ice,0.0006646292766951299
vehicle_manoeuvre_Waiting to turn left,0.000664309116385192
hit_object_in_carriageway_Bollard or refuge,0.000658204697647102
first_road_number_30.0,0.0006553420784519128
junction_location_Entering from slip road,0.0006510322784728451
vehicle_manoeuvre_Overtaking - nearside,0.0006509423879010171
vehicle_manoeuvre_Changing lane to left,0.0006505543096692508
vehicle_type_Motorcycle 50cc and under,0.0006494533645773877
hit_object_in_carriageway_Central island of roundabout,0.0006455479707195506
