,Importance
weather_conditions_Other,0.001466118786469612
vehicle_type_Motorcycle over 125cc and up to 500cc,0.0013687521890605227
vehicle_location_restricted_lane_On main c'way - not in restricted lane,0.0013655210497375656
hit_object_off_carriageway_Tree,0.0013599030511532385
hit_object_in_carriageway_Kerb,0.0012745750715128562
road_type_One way street,0.0012745554121879406
road_type_Slip road,0.001263284544752813
vehicle_type_Taxi/Private hire car,0.0012450548317457393
vehicle_leaving_carriageway_Straight ahead at junction,0.0011955531066847158
carriageway_hazards_None,0.0010978062154720358
hit_object_off_carriageway_Other permanent object,0.0010866157589856913
first_road_class_Motorway,0.0010858148278867494
first_road_number_38.0,0.0010604077857841027
junction_detail_Mini-roundabout,0.0010360849702121127
first_road_number_5.0,0.0010077477555483017
hit_object_off_carriageway_Road sign or traffic signal,0.0010072915438269821
weather_conditions_Fine + high winds,0.0009980349905393566
special_conditions_at_site_Roadworks,0.0009592839934880478
hit_object_off_carriageway_Wall or fence,0.0009490534663492482
pedestrian_crossing_human_control_Control by other authorised person,0.0009467535772777025
pedestrian_crossing_human_control_None within 50 metres ,0.0009375166269432403
first_road_number_1.0,0.0009103238913460471
weather_conditions_Fog or mist,0.0009010093336598703
first_road_number_52.0,0.0008964586874969317
first_road_number_41.0,0.0008630991437984648
junction_control_Stop sign,0.0008605489070954863
vehicle_manoeuvre_Overtaking static vehicle - offside,0.0008462234696022377
first_road_number_57.0,0.0008398556352549007
vehicle_direction_from_Parked,0.000821543141704547
weather_conditions_Raining + high winds,0.0008165849707595188
vehicle_manoeuvre_U-turn,0.0007729284092832956
first_road_number_23.0,0.0007608092706601222
hit_object_in_carriageway_Parked vehicle,0.0007486249140153937
first_road_number_259.0,0.0007439915788185179
vehicle_manoeuvre_Parked,0.0007188383884897802
hit_object_in_carriageway_Bollard or refuge,0.0007113236378946067
first_road_number_10.0,0.0007074314071266404
first_road_number_3.0,0.0007072650419781623
hit_object_off_carriageway_Lamp post,0.000706182349051121
vehicle_direction_to_Parked,0.0006977892756353119
first_road_number_4.0,0.0006919158681464325
first_road_number_46.0,0.0006892862246958542
junction_location_Entering from slip road,0.0006864941004962958
first_road_number_650.0,0.0006818826131778709
vehicle_type_Motorcycle 50cc and under,0.0006654387269899531
vehicle_manoeuvre_Waiting to turn left,0.0006580186630293624
first_road_number_62.0,0.0006572455581147835
first_road_number_58.0,0.0006555024293338738
first_road_number_34.0,0.0006475332659097732
first_road_number_61.0,0.0006444378200885929
light_conditions_Darkness - lights unlit,0.0006260307879690379
road_surface_conditions_Frost or ice,0.0006156968089389128
first_road_number_20.0,0.0006111960179126442
first_road_number_24.0,0.0006035429653604026
vehicle_manoeuvre_Changing lane to left,0.0006028874083585269
hit_object_in_carriageway_Central island of roundabout,0.0006016516618756265
first_road_number_49.0,0.0005963733993183747
vehicle_left_hand_drive_No,0.0005948040350914746
vehicle_manoeuvre_Overtaking - nearside,0.0005760789690838372
first_road_number_30.0,0.0005722995714623773
vehicle_manoeuvre_Changing lane to right,0.0005696050652227825
vehicle_location_restricted_lane_Footway (pavement),0.000560016881579783
vehicle_leaving_carriageway_Nearside and rebounded,0.0005512667690392754
first_road_number_47.0,0.000542565717423151
first_road_number_27.0,0.0005330580208065388
vehicle_left_hand_drive_Yes,0.0005293296360195209
first_road_number_59.0,0.0005261663695402404
first_road_number_40.0,0.0005146598782281505
first_road_number_2.0,0.000507678022004346
vehicle_location_restricted_lane_Bus lane,0.0005055848305665053
first_road_number_35.0,0.0005016581476542209
first_road_number_56.0,0.000500584566932662
first_road_number_19.0,0.0004972270251885282
first_road_number_13.0,0.0004905192217807431
first_road_number_16.0,0.0004809584283248524
junction_control_Authorised person,0.0004706049690936607
carriageway_hazards_Other object on road,0.00046919350117854015
first_road_number_406.0,0.0004656390290019232
first_road_number_205.0,0.00045630135973761464
hit_object_off_carriageway_Near/Offside crash barrier,0.0004524198782907021
first_road_number_25.0,0.00045051836089312833
first_road_number_140.0,0.0004481551622193691
first_road_number_11.0,0.0004466406701526776
first_road_number_329.0,0.0004252439509651247
first_road_number_21.0,0.0004064680825869996
first_road_number_31.0,0.0003958839236331272
vehicle_manoeuvre_Reversing,0.00039040865267494325
first_road_number_428.0,0.00038953765126886693
first_road_number_614.0,0.00038276969830030905
first_road_number_580.0,0.0003811664593173582
first_road_number_26.0,0.00038088918046457913
first_road_number_404.0,0.0003808575231723903
vehicle_leaving_carriageway_Offside on to central reservation,0.00038080622646178083
vehicle_type_Agricultural vehicle,0.0003807688906180459
hit_object_off_carriageway_Entered ditch,0.00038015661422714276
first_road_number_60.0,0.000378763040509413
first_road_number_445.0,0.0003747096663008569
weather_conditions_Snowing no high winds,0.0003679286148574148
special_conditions_at_site_Auto traffic signal - out,0.0003673326974693755
first_road_number_361.0,0.00036463152974613414
first_road_number_171.0,0.0003637837497339378
vehicle_type_Goods over 3.5t. and under 7.5t,0.0003539701304861689
first_road_number_15.0,0.0003508206669864217
first_road_number_6120.0,0.0003504219376125299
first_road_number_308.0,0.0003502457131588324
first_road_number_217.0,0.0003443821654627833
first_road_number_638.0,0.0003431192562098067
first_road_number_245.0,0.0003414247779644447
first_road_number_165.0,0.00033731776724831995
first_road_number_215.0,0.00033636195313779647
first_road_number_4040.0,0.0003331032939615927
first_road_number_635.0,0.00033089099189287754
first_road_number_18.0,0.0003286662960963101
first_road_number_4020.0,0.00032053981513438463
first_road_number_1136.0,0.0003204180646296052
first_road_number_51.0,0.00031885249481857755
first_road_number_1067.0,0.0003143564753668464
first_road_number_1077.0,0.00031247321960788555
towing_and_articulation_Single trailer,0.0003070643211232671
pedestrian_crossing_physical_facilities_Footbridge or subway,0.0003051447578737656
first_road_number_167.0,0.0003051031732120486
first_road_number_44.0,0.0003032206933807575
first_road_number_3220.0,0.0002984603705783864
first_road_number_33.0,0.0002953718121159806
first_road_number_312.0,0.000292556239227843
first_road_number_456.0,0.00029005745127391806
hit_object_off_carriageway_Telegraph or electricity pole,0.0002880906760107865
first_road_number_449.0,0.000287664860863522
first_road_number_579.0,0.0002767255227467537
first_road_number_6200.0,0.00027498764992615405
first_road_number_303.0,0.00027467192022823203
first_road_number_6135.0,0.0002743925426700244
first_road_number_12.0,0.0002712707818370053
first_road_number_66.0,0.00027040343256098666
vehicle_leaving_carriageway_Offside and rebounded,0.0002672603206548986
